#Processing Run 48227 for polarization tables
#The run table thinks this was a DPARAL2 run
#Corresponding AMO file is :/home/clasg8/rootbeer2.1/dat/pol/amo_tesc_48217.dat
#Coherent Edge positions for TESC events follow:
#Event	Coh Edge	PolPlane(PARA=0,PERP=1,AMO=2,CHANGING=3)
#WARNING: table and EPICS differ on the radiator
Using value from table#WARNING: table and EPICS differ on the Plane
Using	x	-1.0	0
3061738	3081306	-1.0	0
3081306	3093548	-1.0	0
3093548	3108016	-1.0	0
3108016	3122308	-1.0	0
3122308	3135457	-1.0	0
3135457	3151067	-1.0	0
3151067	3162879	-1.0	0
3162879	3180561	-1.0	0
3180561	3190849	-1.0	0
3190849	3204970	-1.0	0
3204970	3230322	-1.0	0
3230322	3244284	-1.0	0
3244284	3251749	-1.0	0
3251749	3265439	-1.0	0
3265439	3279976	-1.0	0
3279976	3298284	-1.0	0
3298284	3312547	-1.0	0
3312547	3326711	-1.0	0
3326711	3340948	-1.0	0
3340948	3355105	-1.0	0
3355105	3370852	-1.0	0
3370852	3388341	-1.0	0
3388341	3396197	-1.0	0
3396197	3411178	-1.0	0
3411178	3427619	-1.0	0
3427619	3446488	-1.0	0
3446488	3459049	-1.0	0
3459049	3473244	-1.0	0
3473244	3487317	-1.0	0
3487317	3505490	-1.0	0
3505490	3522129	-1.0	0
3522129	3531578	-1.0	0
3531578	3552746	-1.0	0
3552746	3559261	-1.0	0
3559261	3573529	-1.0	0
3573529	3589442	-1.0	0
3589442	3601413	-1.0	0
3601413	3615334	-1.0	0
3615334	3636178	-1.0	0
3636178	3643213	-1.0	0
3643213	3671267	-1.0	0
3671267	3685493	-1.0	0
3685493	3692459	-1.0	0
3692459	3706453	-1.0	0
3706453	3720432	-1.0	0
3720432	3735623	-1.0	0
3735623	3748753	-1.0	0
3748753	3771405	-1.0	0
3771405	3783646	-1.0	0
3783646	3793718	-1.0	0
3793718	3811784	-1.0	0
3811784	3829354	-1.0	0
3829354	3839728	-1.0	0
3839728	3853762	-1.0	0
3853762	3864729	-1.0	0
3864729	3881840	-1.0	0
3881840	3898009	-1.0	0
3898009	3912436	-1.0	0
3912436	3920231	-1.0	0
3920231	3934221	-1.0	0
3934221	3958984	-1.0	0
3958984	3974645	-1.0	0
3974645	3982043	-1.0	0
3982043	3999267	-1.0	0
3999267	4015964	-1.0	0
4015964	4031102	-1.0	0
4031102	4049371	-1.0	0
4049371	4061848	-1.0	0
4061848	4076602	-1.0	0
4076602	4084519	-1.0	0
4084519	4106298	-1.0	0
4106298	4115148	-1.0	0
4115148	4134290	-1.0	0
4134290	4141351	-1.0	0
4141351	4155644	-1.0	0
4155644	4175970	-1.0	0
4175970	4187976	-1.0	0
4187976	4207715	-1.0	0
4207715	4215930	-1.0	0
4215930	4229611	-1.0	0
4229611	4246855	-1.0	0
4246855	4260909	-1.0	0
4260909	4281990	-1.0	0
4281990	4296037	-1.0	0
4296037	4304841	-1.0	0
4304841	4318974	-1.0	0
4318974	4331220	-1.0	0
4331220	4345584	-1.0	0
4345584	4359635	-1.0	0
4359635	4373606	-1.0	0
4373606	4394872	-1.0	0
4394872	4408131	-1.0	0
4408131	4428357	-1.0	0
4428357	4436513	-1.0	0
4436513	4450917	-1.0	0
4450917	4472795	-1.0	0
4472795	4484725	-1.0	0
4484725	4496222	-1.0	0
4496222	4510867	-1.0	0
4510867	4519159	-1.0	0
4519159	4541040	-1.0	0
4541040	4553700	-1.0	0
4553700	4571846	-1.0	0
4571846	4580949	-1.0	0
4580949	4594050	-1.0	0
4594050	4611983	-1.0	0
4611983	4625487	-1.0	0
4625487	4645360	-1.0	0
4645360	4653981	-1.0	0
4653981	4668064	-1.0	0
4668064	4684627	-1.0	0
4684627	4698424	-1.0	0
4698424	4718520	-1.0	0
4718520	4725985	-1.0	0
4725985	4739992	-1.0	0
4739992	4756664	-1.0	0
4756664	4772922	-1.0	0
4772922	4786737	-1.0	0
4786737	4800194	-1.0	0
4800194	4813040	-1.0	0
4813040	4829301	-1.0	0
4829301	4840352	-1.0	0
4840352	4855471	-1.0	0
4855471	4869445	-1.0	0
4869445	4883512	-1.0	0
4883512	4907733	-1.0	0
4907733	4917434	-1.0	0
4917434	4938327	-1.0	0
4938327	4947166	-1.0	0
4947166	4962808	-1.0	0
4962808	4977274	-1.0	0
4977274	4991037	-1.0	0
4991037	5005030	-1.0	0
5005030	5019378	-1.0	0
5019378	5039394	-1.0	0
5039394	5054502	-1.0	0
5054502	5068372	-1.0	0
5068372	5082509	-1.0	0
5082509	5096550	-1.0	0
5096550	5110790	-1.0	0
5110790	5131832	-1.0	0
5131832	5144005	-1.0	0
5144005	5154978	-1.0	0
5154978	5169124	-1.0	0
5169124	5183966	-1.0	0
5183966	5204930	-1.0	0
5204930	5211424	-1.0	0
5211424	5223626	-1.0	0
5223626	5243779	-1.0	0
5243779	5252061	-1.0	0
5252061	5279793	-1.0	0
5279793	5294505	-1.0	0
5294505	5308654	-1.0	0
5308654	5322692	-1.0	0
5322692	5337493	-1.0	0
5337493	5351385	-1.0	0
5351385	5364980	-1.0	0
5364980	5378949	-1.0	0
5378949	5393119	-1.0	0
5393119	5406972	-1.0	0
5406972	5427929	-1.0	0
5427929	5436965	-1.0	0
5436965	5455882	-1.0	0
5455882	5463944	-1.0	0
5463944	5477719	-1.0	0
5477719	5498284	-1.0	0
5498284	5515234	-1.0	0
5515234	5524527	-1.0	0
5524527	5537782	-1.0	0
5537782	5551719	-1.0	0
5551719	5575185	-1.0	0
5575185	5582244	-1.0	0
5582244	5596243	-1.0	0
5596243	5617669	-1.0	0
5617669	5630352	-1.0	0
5630352	5645731	-1.0	0
5645731	5657671	-1.0	0
5657671	5670269	-1.0	0
5670269	5688906	-1.0	0
5688906	5698015	-1.0	0
5698015	5715579	-1.0	0
5715579	5726485	-1.0	0
5726485	5740947	-1.0	0
5740947	5753073	-1.0	0
5753073	5768879	-1.0	0
5768879	5786177	-1.0	0
5786177	5800570	-1.0	0
5800570	5814573	-1.0	0
5814573	5828529	-1.0	0
5828529	5848371	-1.0	0
5848371	5866680	-1.0	0
5866680	5873764	-1.0	0
5873764	5887342	-1.0	0
5887342	5909235	-1.0	0
5909235	5917471	-1.0	0
5917471	5939120	-1.0	0
5939120	5953974	-1.0	0
5953974	5965493	-1.0	0
5965493	5977550	-1.0	0
5977550	5984729	-1.0	0
5984729	6002514	-1.0	0
6002514	6006057	-1.0	0
6006057	6022159	-1.0	0
6022159	6029091	-1.0	0
6029091	6042663	-1.0	0
6042663	6064456	-1.0	0
6064456	6082117	-1.0	0
6082117	6092103	-1.0	0
6092103	6106158	-1.0	0
6106158	6124263	-1.0	0
6124263	6136332	-1.0	0
6136332	6149371	-1.0	0
6149371	6163201	-1.0	0
6163201	6176810	-1.0	0
6176810	6190407	-1.0	0
6190407	6211290	-1.0	0
6211290	6220441	-1.0	0
6220441	6233966	-1.0	0
6233966	6253322	-1.0	0
6253322	6262583	-1.0	0
6262583	6282512	-1.0	0
6282512	6296090	-1.0	0
6296090	6310058	-1.0	0
6310058	6324675	-1.0	0
6324675	6337883	-1.0	0
