#Processing Run 48114 for polarization tables
#The run table thinks this was a DSWAPL2 run
#Corresponding AMO file is :/home/clasg8/rootbeer2.1/dat/pol/amo_tesc_48112.dat
#Coherent Edge positions for TESC events follow:
#Event	Coh Edge	PolPlane(PARA=0,PERP=1,AMO=2,CHANGING=3)
#WARNING: table and EPICS differ on the radiator
Using	x	 0.0	0
2377987	2385957	1879.8	1
2385957	2412798	-1.0	1
2412798	2421945	-1.0	1
2421945	2427375	-1.0	1
2427375	2437641	1875.4	1
2437641	2448492	1876.2	1
2448492	2462885	1872.4	1
2462885	2472334	1868.6	1
2472334	2480377	1876.6	1
2480377	2494054	1864.4	1
2494054	2507484	1873.0	1
2507484	2514634	1875.8	1
2514634	2527712	1874.4	1
2527712	2536975	1877.0	1
2536975	2551496	1867.4	1
2551496	2562725	1898.9	1
2562725	2571030	1930.4	1
2571030	2586216	1904.0	1
2586216	2594674	1877.6	1
2594674	2602575	1874.8	1
2602575	2619382	1867.4	1
2619382	2630640	1865.6	1
2630640	2641519	1878.8	1
2641519	2650582	-1.0	1
2650582	2663015	-1.0	1
2663015	2673172	-1.0	1
2673172	2689528	-1.0	1
2689528	2706403	1868.8	1
2706403	2717391	1874.4	1
2717391	2727247	1868.0	1
2727247	2743568	1867.4	1
2743568	2751562	1868.8	1
2751562	2765072	1872.5	1
2765072	2775722	1876.2	1
2775722	2785911	1877.3	1
2785911	2796038	1878.4	1
2796038	2806585	1870.2	1
2806585	2822800	1875.8	1
2822800	2828646	1881.7	1
2828646	2836715	1872.6	1
2836715	2855282	1875.2	1
2855282	2863154	1869.4	1
2863154	2876908	1874.6	1
2876908	2882817	1869.8	1
2882817	2894484	1876.8	1
2894484	2910867	1875.6	1
2910867	2922105	1872.5	1
2922105	2930008	1869.4	1
2930008	2940853	1870.8	1
2940853	2951924	1868.4	1
2951924	2969166	1876.8	1
2969166	2976128	1876.5	1
2976128	2992729	1876.2	1
2992729	2998101	1876.2	1
2998101	3008984	1869.0	1
3008984	3026024	1873.8	1
3026024	3033785	1876.6	1
3033785	3046242	1876.6	1
3046242	3056462	1872.2	1
