#Processing Run 48230 for polarization tables
#The run table thinks this was a DPARAL2 run
#Corresponding AMO file is :/home/clasg8/rootbeer2.1/dat/pol/amo_tesc_48217.dat
#Coherent Edge positions for TESC events follow:
#Event	Coh Edge	PolPlane(PARA=0,PERP=1,AMO=2,CHANGING=3)
#WARNING: table and EPICS differ on the radiator
Using value from table#WARNING: table and EPICS differ on the Plane
Using	x	 0.0	0
0	166	1278.0	0
166	11007	1275.4	0
11007	27788	1272.2	0
27788	44820	1268.0	0
44820	57113	1271.2	0
57113	71513	1271.6	0
71513	94213	1268.4	0
94213	104611	1265.6	0
104611	125874	1267.6	0
125874	140972	1261.4	0
140972	160998	1263.2	0
160998	177855	1257.0	0
177855	210302	1262.0	0
210302	225151	1268.8	0
225151	241052	1276.0	0
241052	256980	1272.6	0
256980	276624	1283.8	0
276624	292870	1283.0	0
292870	311851	1288.6	0
311851	323396	1279.2	0
323396	339825	1279.6	0
339825	355675	1278.8	0
355675	374155	1279.6	0
374155	394721	1277.8	0
394721	411880	1282.2	0
411880	422598	1283.4	0
422598	439243	1276.2	0
439243	462680	1275.4	0
462680	468211	1274.4	0
468211	484082	1273.4	0
484082	499434	1275.6	0
499434	515674	1273.4	0
515674	541483	1271.2	0
541483	561186	1268.8	0
561186	579308	1267.0	0
579308	588639	1272.2	0
588639	605247	1264.4	0
605247	625050	1271.0	0
625050	648375	1267.8	0
648375	657497	1270.8	0
657497	672324	1270.2	0
672324	687694	1268.6	0
687694	710663	1268.6	0
710663	730850	1265.6	0
730850	741130	1263.4	0
741130	757105	1266.4	0
757105	777658	1267.4	0
777658	798570	1266.0	0
798570	814374	1260.2	0
814374	823972	1259.6	0
823972	840939	1263.4	0
840939	859252	1264.6	0
859252	880138	1263.4	0
880138	890778	1264.4	0
890778	907655	1266.6	0
907655	918039	1266.0	0
918039	932441	1266.8	0
932441	963512	1264.2	0
963512	978507	1261.2	0
978507	998609	1272.2	0
998609	1010498	1271.0	0
1010498	1025114	1271.0	0
1025114	1050700	1266.4	0
1050700	1065848	1264.8	0
1065848	1083376	1265.2	0
1083376	1094078	1266.8	0
1094078	1113855	1267.0	0
1113855	1131310	1267.6	0
1131310	1145241	1267.0	0
1145241	1160753	1263.2	0
1160753	1176168	1264.8	0
1176168	1201383	1264.2	0
1201383	1216171	1263.0	0
1216171	1236619	1259.2	0
1236619	1247248	1257.6	0
1247248	1262376	1254.4	0
1262376	1278723	1251.6	0
1278723	1298954	1251.6	0
1298954	1320214	1248.4	0
1320214	1332965	1247.6	0
1332965	1354208	1245.5	0
1354208	1370456	1245.1	0
1370456	1389705	1247.2	0
1389705	1402958	1248.6	0
1402958	1422650	1249.6	0
1422650	1433129	1252.0	0
1433129	1450387	1248.4	0
1450387	1469628	1252.2	0
1469628	1481255	1257.6	0
1481255	1497425	1253.0	0
1497425	1520107	1252.6	0
1520107	1529620	1252.0	0
1529620	1555752	1251.8	0
1555752	1571042	1250.0	0
1571042	1593588	1251.8	0
1593588	1603524	1250.2	0
1603524	1621694	1251.0	0
1621694	1641158	1252.4	0
1641158	1658175	1251.8	0
1658175	1673966	1256.0	0
1673966	1690356	1254.8	0
1690356	1712028	1251.8	0
1712028	1729701	1254.0	0
1729701	1748302	1245.3	0
1748302	1759553	1244.3	0
1759553	1775422	1243.5	0
1775422	1790660	1248.4	0
1790660	1822181	1249.2	0
1822181	1830980	1243.7	0
1830980	1843993	1243.1	0
1843993	1863083	1239.5	0
1863083	1883630	1244.9	0
1883630	1906921	1250.0	0
1906921	1915610	1249.8	0
1915610	1931043	1245.1	0
1931043	1952419	1241.5	0
1952419	1963960	1244.3	0
1963960	1978596	1243.1	0
1978596	1991663	1248.6	0
1991663	2000089	1249.4	0
2000089	2005755	1254.2	0
2005755	2022198	1250.4	0
2022198	2031397	1249.2	0
2031397	2038877	1232.1	0
2038877	2057337	1225.7	0
2057337	2072090	1224.7	0
2072090	2094783	-1.0	0
2094783	2105458	-1.0	0
2105458	2124268	-1.0	0
2124268	2142085	-1.0	0
2142085	2157396	1223.7	0
2157396	2172298	1225.1	0
2172298	2189086	1224.7	0
2189086	2212862	-1.0	0
2212862	2231141	-1.0	0
2231141	2244491	-1.0	0
2244491	2261426	1224.3	0
2261426	2277670	1227.9	0
2277670	2300006	1224.5	0
2300006	2323290	1227.3	0
2323290	2334788	-1.0	0
2334788	2351115	-1.0	0
2351115	2374512	-1.0	0
2374512	2384937	-1.0	0
2384937	2405992	-1.0	0
2405992	2422102	-1.0	0
2422102	2440103	-1.0	0
2440103	2463021	-1.0	0
2463021	2473177	-1.0	0
2473177	2495098	-1.0	0
2495098	2516846	-1.0	0
2516846	2528410	-1.0	0
2528410	2544248	-1.0	0
2544248	2561100	-1.0	0
2561100	2582413	-1.0	0
2582413	2596316	1227.5	0
2596316	2614237	1228.5	0
2614237	2638162	1227.5	0
2638162	2653842	1226.5	0
2653842	2677620	1226.9	0
2677620	2688274	-1.0	0
2688274	2704123	-1.0	0
2704123	2720052	-1.0	0
2720052	2735897	1221.9	0
2735897	2756399	-1.0	0
